,name,album,artist,release_date,length,popularity,key,mode,valence,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,mood,Moods,RF_Results
2910,Pluto Projector,Pony,Rex Orange County,2019-10-25,267520,78,5,1,0.188,0.379,0.707,0.219,0.000691,0.118,-11.196,0.0307,79.786,4,1,Sad,True
2911,Happier Than Ever,Happier Than Ever,Billie Eilish,2021-07-30,298899,93,0,1,0.297,0.332,0.767,0.225,0.00349,0.128,-8.697,0.0348,81.055,3,1,Sad,True
2912,idfc,dead,blackbear,2015-06-02,207026,83,4,0,0.455,0.718,0.0764,0.422,0.0,0.17,-9.115,0.0621,144.678,4,1,Sad,True
2913,I Didn't Change My Number,Happier Than Ever,Billie Eilish,2021-07-30,158463,77,9,1,0.677,0.849,0.612,0.48,0.269,0.295,-5.835,0.226,142.021,4,1,Sad,True
2914,moment,moment,Vierre Cloud,2019-12-22,129541,8,6,1,0.524,0.542,0.0415,0.856,0.159,0.166,-7.443,0.0925,171.364,4,1,Sad,True
2915,Heather,Kid Krow,Conan Gray,2020-03-20,198040,86,5,1,0.27,0.357,0.584,0.425,0.0,0.322,-7.301,0.0333,102.078,3,1,Sad,True
2916,All I Want,In A Perfect World (Expanded Edition),Kodaline,2013-06-17,305746,82,0,1,0.159,0.188,0.174,0.411,0.153,0.0843,-9.733,0.0484,187.376,3,1,Sad,True
2917,Line Without a Hook,Montgomery Ricky,Ricky Montgomery,2016-04-08,249586,80,8,1,0.507,0.432,0.262,0.652,0.0,0.258,-4.969,0.0285,190.028,3,1,Sad,True
2918,Dandelions,Safe Haven,Ruth B.,2017-05-05,233720,86,1,1,0.454,0.609,0.0157,0.692,0.0,0.0864,-2.958,0.0259,116.959,3,1,Sad,True
2919,Young And Beautiful,Young And Beautiful,Lana Del Rey,2013-01-01,236053,78,11,0,0.151,0.324,0.262,0.416,3.69e-05,0.11,-8.92,0.0368,113.986,4,1,Sad,True
2920,Cigarette Daydreams,Melophobia,Cage The Elephant,2013-10-08,208760,64,2,1,0.273,0.636,0.0807,0.676,0.0,0.0831,-3.442,0.0263,113.98,4,1,Sad,True
2921,traitor,SOUR,Olivia Rodrigo,2021-05-21,229226,91,3,1,0.0849,0.38,0.691,0.339,0.0,0.12,-7.885,0.0338,100.607,4,1,Sad,True
2922,Pretty Boy,Chip Chrome & The Mono-Tones,The Neighbourhood,2020-09-25,234093,71,6,1,0.569,0.578,0.208,0.386,0.0453,0.307,-11.464,0.0278,154.902,4,1,Sad,True
2923,favorite crime,SOUR,Olivia Rodrigo,2021-05-21,152666,86,9,1,0.218,0.369,0.866,0.272,0.0,0.147,-10.497,0.0364,172.929,4,1,Sad,True
2924,Black Out Days - Future Islands Remix,Black Out Days (Future Islands Remix),Phantogram,2017-09-01,248346,81,4,0,0.123,0.477,0.0027,0.483,0.783,0.156,-9.413,0.0364,170.026,4,1,Sad,True
2925,Turning Page,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack),Various Artists,2011-11-04,255373,55,3,1,0.189,0.304,0.912,0.379,0.025,0.112,-8.484,0.029,125.203,4,1,Sad,True
2926,when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,196077,82,4,1,0.198,0.367,0.978,0.111,3.97e-05,0.0897,-14.084,0.0972,82.642,4,1,Sad,True
2927,Yellow,Parachutes,Coldplay,2000-07-10,266773,86,11,1,0.285,0.429,0.00239,0.661,0.000121,0.234,-7.227,0.0281,173.372,4,1,Sad,True
2928,The Night We Met,Strange Trails,Lord Huron,2015-04-06,208211,82,2,1,0.102,0.544,0.969,0.369,0.279,0.639,-9.514,0.038,87.01,3,1,Sad,True
2929,happier,SOUR,Olivia Rodrigo,2021-05-21,175933,87,6,1,0.338,0.395,0.765,0.443,9.67e-06,0.0839,-9.72,0.133,168.924,3,1,Sad,True
2930,Mia & Sebastian’s Theme,La La Land (Original Motion Picture Score),Justin Hurwitz,2016-12-09,96893,60,9,1,0.179,0.439,0.976,0.187,0.906,0.139,-16.261,0.0759,65.284,4,1,Sad,True
2931,The Beach,Wiped Out!,The Neighbourhood,2015-10-30,255133,76,2,0,0.105,0.245,0.131,0.64,8.11e-06,0.0766,-7.426,0.0608,135.739,4,1,Sad,True
2932,Are You With Me,Are You With Me,nilu,2018-01-25,249661,1,9,1,0.0608,0.172,0.687,0.409,6.88e-05,0.103,-8.668,0.0324,83.995,4,1,Sad,True
2933,O Children,Abattoir Blues / The Lyre of Orpheus,Nick Cave & The Bad Seeds,2004-09-20,411386,67,4,0,0.235,0.484,0.513,0.554,0.00207,0.0533,-7.064,0.0324,121.619,4,1,Sad,True
2934,When I Look At You,Sleeping Songs 2020,Various Artists,2020-09-11,248586,22,6,1,0.194,0.459,0.142,0.545,0.0,0.105,-4.874,0.0282,137.946,3,1,Sad,True
2935,Saturno,Prometo,Pablo Alborán,2017-06-01,253760,79,7,1,0.311,0.278,0.392,0.572,0.0,0.063,-8.295,0.0407,95.351,3,1,Sad,True
2936,Me and My Husband,Be the Cowboy,Mitski,2018-08-17,137141,48,1,1,0.766,0.497,0.0478,0.639,0.0,0.39,-5.31,0.0273,171.95,4,1,Sad,False
2937,Arcade,Arcade,Duncan Laurence,2019-03-07,183624,83,9,0,0.266,0.45,0.818,0.329,0.00109,0.135,-12.603,0.0441,71.884,3,1,Sad,True
2938,As the World Caves In,As the World Caves In,Matt Maltese,2017-03-06,218754,77,10,1,0.18,0.331,0.365,0.45,0.00464,0.22,-5.362,0.034,123.829,4,1,Sad,True
2939,Sign of the Times,Harry Styles,Harry Styles,2017-05-12,340706,82,5,1,0.222,0.516,0.0275,0.595,0.0,0.109,-4.63,0.0313,119.972,4,1,Sad,True
2940,Falling,Fine Line,Harry Styles,2019-12-13,240133,85,4,1,0.0592,0.567,0.839,0.267,1.46e-06,0.089,-6.502,0.0299,110.011,4,1,Sad,True
2941,Train Wreck,Back from the Edge,James Arthur,2016-10-28,208826,82,6,0,0.225,0.311,0.701,0.485,0.0,0.0726,-5.726,0.0365,77.355,4,1,Sad,True
2942,Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber,2020-10-16,149297,79,11,0,0.0927,0.631,0.864,0.239,0.0,0.116,-7.071,0.0398,79.859,4,1,Sad,True
2943,Daddy Issues,Wiped Out!,The Neighbourhood,2015-10-30,260173,86,10,1,0.337,0.588,0.0678,0.521,0.149,0.123,-9.461,0.0329,85.012,4,1,Sad,True
2944,Bubble Gum,Bubble Gum,Clairo,2019-02-22,175960,80,9,1,0.229,0.509,0.979,0.0167,2.72e-05,0.387,-24.639,0.115,207.97,3,1,Sad,True
2945,Roslyn,Stories,Ben Pellow,2017-04-06,317440,65,1,1,0.0709,0.267,0.946,0.0563,0.00567,0.109,-14.171,0.0375,134.347,5,1,Sad,True
2946,I Can't Handle Change,I Can't Handle Change,Roar,2010-03-14,198213,82,5,1,0.39,0.247,0.0447,0.438,0.000867,0.111,-8.478,0.0358,185.711,3,1,Sad,True
2947,Turning Page,Turning Page,Sydney Rose,2020-09-30,218451,67,2,1,0.114,0.404,0.964,0.0182,0.00037,0.108,-20.969,0.0414,109.107,4,1,Sad,True
2948,deja vu,SOUR,Olivia Rodrigo,2021-05-21,215506,88,2,1,0.178,0.442,0.584,0.612,5.7e-06,0.37,-7.222,0.112,180.917,4,1,Sad,True
2949,hope ur ok,SOUR,Olivia Rodrigo,2021-05-21,209560,78,0,1,0.172,0.443,0.388,0.298,1e-05,0.103,-12.181,0.0644,77.253,4,1,Sad,True
2950,Training Wheels,Cry Baby (Deluxe Edition),Melanie Martinez,2015-08-14,205680,75,9,1,0.0807,0.571,0.697,0.481,0.0,0.089,-7.179,0.0444,113.753,4,1,Sad,True
2951,drivers license,SOUR,Olivia Rodrigo,2021-05-21,242013,90,10,1,0.137,0.561,0.768,0.431,1.42e-05,0.106,-8.81,0.0578,143.875,4,1,Sad,True
2952,Sofia,Immunity,Clairo,2019-08-02,188386,81,0,1,0.641,0.744,0.598,0.619,0.00372,0.231,-9.805,0.039,112.997,4,1,Sad,True
2953,Touch,Atlas: II,Sleeping At Last,2019-11-01,256299,71,0,1,0.18,0.415,0.955,0.104,3.79e-06,0.104,-11.83,0.0426,82.006,3,1,Sad,True
2954,Afraid,I Love You.,The Neighbourhood,2013-04-19,251186,76,6,0,0.356,0.464,0.00892,0.701,0.309,0.335,-5.693,0.0411,83.996,4,1,Sad,True
2955,Prey,Wiped Out!,The Neighbourhood,2015-10-30,282640,66,9,0,0.197,0.517,0.0258,0.779,0.0,0.0622,-5.005,0.0477,115.206,4,1,Sad,True
2956,Cry Baby,Wiped Out!,The Neighbourhood,2015-10-30,235160,72,4,0,0.338,0.581,0.00269,0.656,2.78e-06,0.101,-4.891,0.0294,108.033,4,1,Sad,False
2957,Reflections,Hard To Imagine The Neighbourhood Ever Changing,The Neighbourhood,2018-11-02,244013,73,11,0,0.544,0.648,0.114,0.594,0.0462,0.116,-7.027,0.0293,113.983,4,1,Sad,True
2958,we fell in love in october,we fell in love in october / forget her,girl in red,2018-11-21,184153,84,7,1,0.237,0.566,0.113,0.366,0.181,0.155,-12.808,0.028,129.959,4,1,Sad,True
2959,Not Around,Not Around,Nova,2019-08-04,183920,77,6,1,0.235,0.499,0.333,0.695,2.85e-06,0.659,-9.452,0.113,131.006,4,1,Sad,True
2960,Lust For Life (with The Weeknd),Lust For Life,Lana Del Rey,2017-07-21,264066,68,0,0,0.262,0.504,0.604,0.655,0.00193,0.364,-8.644,0.0542,99.982,4,1,Sad,True
2961,Juliet,Animal Kingdom,Cavetown,2019-04-12,278991,77,6,1,0.364,0.546,0.00346,0.586,0.00114,0.0562,-8.488,0.0313,131.778,4,1,Sad,True
2962,If the World Was Ending (feat. Julia Michaels),If the World Was Ending (feat. Julia Michaels),JP Saxe,2019-10-17,208687,81,1,1,0.604,0.464,0.866,0.473,0.0,0.109,-10.086,0.129,75.801,4,1,Sad,True
2963,Your Power,Happier Than Ever,Billie Eilish,2021-07-30,245896,81,9,0,0.208,0.632,0.932,0.284,0.000476,0.233,-14.025,0.0801,129.642,4,1,Sad,True
2964,IDK You Yet,IDK You Yet (Live on Piano),Alexander 23,2020-06-23,184638,80,1,1,0.198,0.648,0.886,0.308,0.0774,0.124,-11.729,0.04,76.997,1,1,Sad,True
2965,Love Story (Taylor’s Version),Love Story (Taylor’s Version),Taylor Swift,2021-02-12,235766,75,2,1,0.416,0.626,0.135,0.79,3.97e-06,0.0989,-4.302,0.0311,119.082,4,1,Sad,True
2966,Rolling in the Deep,21,Adele,2011-01-24,228093,82,8,1,0.507,0.73,0.138,0.769,0.0,0.0473,-5.114,0.0298,104.948,4,1,Sad,True
2967,You Are Enough,Atlas: I,Sleeping At Last,2014-07-08,180086,76,1,1,0.465,0.593,0.707,0.5,1.24e-05,0.0837,-8.532,0.029,117.996,4,1,Sad,True
2968,ghostin,"thank u, next",Ariana Grande,2019-02-08,271466,69,9,1,0.11,0.287,0.418,0.364,1.8e-05,0.185,-8.295,0.0306,103.777,4,1,Sad,True
2969,Beach Baby,Blood Bank,Bon Iver,2009-01-20,160093,69,0,1,0.0922,0.669,0.983,0.0809,0.41,0.114,-17.282,0.0365,114.355,3,1,Sad,True
2970,moment,moment,Vierre Cloud,2019-12-19,129543,78,6,1,0.517,0.544,0.0426,0.855,0.157,0.167,-7.461,0.093,171.349,4,1,Sad,True
2971,You're Somebody Else,Nothing Lasts Forever (And It's Fine),flora cash,2017-04-21,218883,0,1,1,0.238,0.713,0.844,0.451,0.00317,0.105,-9.64,0.0294,102.972,4,1,Sad,True
2972,To Build A Home,Ma Fleur,The Cinematic Orchestra,2007-05-07,371320,74,9,1,0.0735,0.264,0.885,0.122,0.349,0.094,-15.399,0.0349,148.658,4,1,Sad,True
2973,lovely (with Khalid),lovely (with Khalid),Billie Eilish,2018-04-19,200185,87,4,0,0.12,0.351,0.934,0.296,0.0,0.095,-10.109,0.0333,115.284,4,1,Sad,True
2974,my boy,dont smile at me,Billie Eilish,2017-12-22,170852,74,11,0,0.324,0.692,0.472,0.394,0.000191,0.117,-8.745,0.207,89.936,4,1,Sad,True
2975,The Only Exception,Brand New Eyes (Deluxe Edition),Paramore,2009-09-25,267653,49,4,1,0.209,0.452,0.144,0.563,0.0,0.143,-6.607,0.0272,137.715,3,1,Sad,True
2976,Cuando Ella Me Amaba,Movimiento Perpetuo,Sentidos Opuestos,2000-01-01,181546,50,5,1,0.227,0.375,0.977,0.0937,1.13e-05,0.0956,-18.318,0.0412,72.137,5,1,Sad,True
2977,Love Of My Life - Remastered 2011,A Night At The Opera (2011 Remaster),Queen,1975-11-21,217386,0,5,1,0.255,0.329,0.933,0.179,5.04e-06,0.115,-11.589,0.0299,154.175,4,1,Sad,True
2978,Stay,Unapologetic (Deluxe),Rihanna,2012-12-11,240706,77,9,0,0.125,0.621,0.945,0.31,6.12e-05,0.117,-10.164,0.0283,111.893,4,1,Sad,True
2979,Take A Bow,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,229413,0,9,1,0.572,0.697,0.248,0.467,0.0,0.0941,-7.536,0.0715,82.081,4,1,Sad,True
2980,Soap,Cry Baby (Deluxe Edition),Melanie Martinez,2015-08-14,209426,77,6,0,0.213,0.595,0.254,0.689,5.44e-06,0.129,-6.107,0.148,168.112,4,1,Sad,True
2981,Love On The Brain,ANTI (Deluxe),Rihanna,2016-01-28,224000,81,4,0,0.378,0.509,0.0717,0.637,1.08e-05,0.0789,-4.83,0.0471,172.006,3,1,Sad,True
2982,I'm not angry anymore,I'm not angry anymore,Dybbukk,2021-08-06,64522,48,3,1,0.57,0.639,0.987,0.188,0.0,0.091,-15.146,0.0431,90.603,4,1,Sad,True
2983,Black Out Days (Slowed & Reverb),Black Out Days (Slowed & Reverb),toastool,2021-07-08,261818,49,10,1,0.296,0.465,0.00164,0.507,0.816,0.112,-10.19,0.0438,76.002,4,1,Sad,True
2984,See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator",2017-07-21,180386,81,6,1,0.62,0.558,0.371,0.559,7.49e-06,0.109,-9.222,0.0959,78.558,4,1,Sad,True
2985,Jocelyn Flores,17,XXXTENTACION,2017-08-25,119133,86,0,0,0.437,0.872,0.469,0.391,4.13e-06,0.297,-9.144,0.242,134.021,4,1,Sad,True
2986,Let Her Go,All the Little Lights (Deluxe Version),Passenger,2013-11-29,252733,70,7,1,0.244,0.479,0.365,0.545,0.0,0.0963,-7.346,0.0688,74.897,4,1,Sad,True
2987,Chasing Cars,Eyes Open (International Package with bonus live tracks),Snow Patrol,2006-01-01,267960,0,9,1,0.144,0.56,0.199,0.595,6.47e-05,0.132,-4.53,0.0274,104.011,4,1,Sad,True
2988,Unsteady,VHS,X Ambassadors,2015-06-30,193546,57,0,1,0.199,0.389,0.178,0.665,0.000732,0.116,-6.169,0.0644,117.055,4,1,Sad,True
2989,Hold On,Hold On,Chord Overstreet,2017-02-03,198853,81,2,1,0.167,0.618,0.469,0.443,0.0,0.0829,-9.681,0.0526,119.949,4,1,Sad,True
2990,Because of You,Breakaway,Kelly Clarkson,2004,219493,0,5,0,0.15,0.584,0.248,0.583,0.0,0.124,-5.284,0.0313,139.93,4,1,Sad,True
2991,No One,As I Am (Expanded Edition),Alicia Keys,2007-11-09,253813,79,1,0,0.167,0.644,0.0209,0.549,8.85e-06,0.134,-5.415,0.0285,90.04,4,1,Sad,True
2992,Can I Be Him,Back from the Edge,James Arthur,2016-10-28,246880,77,11,1,0.479,0.696,0.308,0.543,0.0,0.0939,-6.164,0.0489,107.969,4,1,Sad,True
2993,You Say,Look Up Child,Lauren Daigle,2018-09-07,274693,76,5,1,0.0797,0.494,0.682,0.632,0.0,0.0869,-6.89,0.0342,147.873,4,1,Sad,True
2994,Falling,Fine Line,Harry Styles,2019-12-13,240133,85,4,1,0.0592,0.567,0.839,0.267,1.46e-06,0.089,-6.502,0.0299,110.011,4,1,Sad,True
2995,The Scientist,A Rush of Blood to the Head,Coldplay,2002-08-08,309600,84,5,1,0.213,0.557,0.731,0.442,1.46e-05,0.11,-7.224,0.0243,146.277,4,1,Sad,True
2996,hope for the underrated youth,Hope For The Underrated Youth,YUNGBLUD,2019-07-29,241691,0,11,0,0.199,0.217,0.0245,0.785,0.0,0.121,-3.168,0.0494,157.538,4,1,Sad,True
2997,I Fall Apart,Stoney (Deluxe),Post Malone,2016-12-09,223346,80,8,0,0.291,0.556,0.0689,0.538,0.0,0.196,-5.408,0.0382,143.95,4,1,Sad,True
2998,All I Want,High School Musical: The Musical: The Series (Original Soundtrack),Various Artists,2020-01-10,177322,73,0,0,0.129,0.376,0.0902,0.43,0.0,0.0912,-6.585,0.0328,77.599,3,1,Sad,True
2999,Common,Icarus Falls,ZAYN,2018-12-14,232520,0,2,0,0.219,0.628,0.201,0.476,0.0,0.0913,-5.856,0.0496,134.998,4,1,Sad,True
3000,Moral of the Story,Moral of the Story,Ashe,2019-02-14,201083,76,10,1,0.265,0.572,0.587,0.406,4.48e-06,0.102,-8.624,0.0427,119.812,4,1,Sad,True
3001,Wings,Wings,Birdy,2013-07-29,252106,51,7,1,0.224,0.474,0.0831,0.707,0.0,0.162,-4.534,0.0253,83.235,4,1,Sad,True
3002,you broke me first,you broke me first,Tate McRae,2020-04-17,169265,86,4,1,0.0823,0.667,0.785,0.373,0.0,0.0906,-9.389,0.05,124.148,4,1,Sad,True
3003,Complicated,Complicated,Olivia O'Brien,2015-08-09,189000,73,7,1,0.0808,0.657,0.694,0.355,0.000427,0.123,-12.044,0.0714,74.99,4,1,Sad,True
3004,Vibez,Vibez,ZAYN,2021-01-08,163127,66,7,1,0.34,0.635,0.242,0.659,0.0285,0.105,-7.499,0.116,96.855,4,1,Sad,True
3005,I Don't Miss You Sober,I Don't Miss You Sober,Darcy Blu,2020-11-13,182040,28,4,1,0.281,0.33,0.877,0.193,1.97e-05,0.167,-9.003,0.0313,77.285,3,1,Sad,True
3006,How to Save a Life,How To Save A Life,The Fray,2005-09-13,262533,80,10,1,0.361,0.64,0.269,0.743,0.0,0.101,-4.08,0.0379,122.035,4,1,Sad,True
3007,Put A Little Love On Me,Heartbreak Weather,Niall Horan,2020-03-13,224585,69,10,1,0.262,0.589,0.674,0.471,0.0,0.105,-4.908,0.0262,95.972,4,1,Sad,True
3008,Heather,Kid Krow,Conan Gray,2020-03-20,198040,86,5,1,0.27,0.357,0.584,0.425,0.0,0.322,-7.301,0.0333,102.078,3,1,Sad,True
3009,drivers license,drivers license,Olivia Rodrigo,2021-01-08,242013,40,10,1,0.132,0.585,0.721,0.436,1.31e-05,0.105,-8.761,0.0601,143.874,4,1,Sad,True
3010,happier,SOUR,Olivia Rodrigo,2021-05-21,175933,87,6,1,0.338,0.395,0.765,0.443,9.67e-06,0.0839,-9.72,0.133,168.924,3,1,Sad,True
3011,Last Train Home,Last Train Home,Darcy Blu,2021-11-05,189069,17,2,1,0.643,0.63,0.599,0.492,3.43e-05,0.131,-9.516,0.161,171.989,4,1,Sad,True
3012,Lost Without You,Freya Ridings,Freya Ridings,2019-07-19,225853,70,6,1,0.0976,0.386,0.932,0.136,0.0,0.0653,-9.267,0.0458,67.016,3,1,Sad,True
3013,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,87,1,1,0.446,0.501,0.751,0.405,0.0,0.105,-5.679,0.0319,109.891,4,1,Sad,True
3014,Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,220492,81,4,1,0.361,0.736,0.946,0.308,0.0,0.186,-7.83,0.0677,111.202,4,1,Sad,True
3015,Hold On,Hold On,Chord Overstreet,2017-02-03,198853,81,2,1,0.167,0.618,0.469,0.443,0.0,0.0829,-9.681,0.0526,119.949,4,1,Sad,True
3016,when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,196077,82,4,1,0.198,0.367,0.978,0.111,3.97e-05,0.0897,-14.084,0.0972,82.642,4,1,Sad,True
3017,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,2018-10-08,179080,81,1,0,0.0895,0.498,0.72,0.235,0.0,0.144,-16.541,0.188,118.917,4,1,Sad,True
3018,All I Want,In A Perfect World,Kodaline,2012,306386,0,0,1,0.142,0.226,0.161,0.408,0.131,0.187,-9.74,0.0432,91.341,3,1,Sad,True
3019,"i hate u, i love u (feat. olivia o'brien)",us,Garrett Nash,2016-03-25,251033,79,6,0,0.18,0.492,0.687,0.275,0.0,0.101,-13.4,0.3,92.6,4,1,Sad,True
3020,Lie,Perception,NF,2017-10-06,209213,77,5,1,0.179,0.513,0.161,0.661,0.0,0.246,-6.419,0.24,94.791,4,1,Sad,True
3021,I Fall Apart,Stoney (Deluxe),Post Malone,2016-12-09,223346,80,8,0,0.291,0.556,0.0689,0.538,0.0,0.196,-5.408,0.0382,143.95,4,1,Sad,True
3022,Us,Electric Light,James Bay,2018-05-18,181360,77,0,1,0.341,0.559,0.177,0.473,1.5e-06,0.108,-4.147,0.0364,69.973,4,1,Sad,True
3023,Broken,Broken,Anson Seabra,2019-08-08,305675,0,6,1,0.239,0.551,0.957,0.0754,0.0,0.154,-14.203,0.059,98.348,4,1,Sad,True
3024,Supermarket Flowers,÷ (Deluxe),Ed Sheeran,2017-03-03,221106,77,6,1,0.257,0.589,0.914,0.242,0.0,0.0887,-10.517,0.0442,89.749,4,1,Sad,True
3025,you were good to me,brent,Jeremy Zucker,2019-05-03,219146,80,2,1,0.206,0.561,0.913,0.0848,2.62e-05,0.112,-15.099,0.0404,102.128,4,1,Sad,True
3026,Too Good At Goodbyes,The Thrill Of It All (Special Edition),Sam Smith,2017-11-03,201000,81,5,1,0.476,0.681,0.64,0.372,0.0,0.169,-8.237,0.0432,91.873,4,1,Sad,True
3027,You Said You'd Grow Old With Me,Wide Awake,Michael Schulte,2012-09-28,224743,67,0,1,0.289,0.531,0.905,0.347,0.0,0.0935,-7.044,0.0345,114.441,4,1,Sad,True
3028,Lost On You,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,197178,62,10,1,0.382,0.555,0.889,0.282,0.0,0.0927,-8.228,0.0612,125.522,4,1,Sad,True
3029,Long Way Down,Long Way Down (Deluxe),Tom Odell,2013-06-24,149773,56,6,1,0.0956,0.368,0.972,0.121,0.0322,0.0871,-13.778,0.0315,133.148,4,1,Sad,True
3030,Happier,÷ (Deluxe),Ed Sheeran,2017-03-03,207520,82,0,1,0.236,0.522,0.536,0.385,0.0,0.135,-7.355,0.0288,89.792,4,1,Sad,True
3031,A Drop In The Ocean,The Bedroom Demos,Ron Pope,2008-05-04,220239,71,5,1,0.564,0.447,0.785,0.393,0.0,0.28,-8.65,0.038,73.139,3,1,Sad,True
3032,Paralyzed,Mansion,NF,2015-03-31,270453,73,0,1,0.0397,0.51,0.214,0.643,3.22e-06,0.101,-6.602,0.0485,130.081,4,1,Sad,True
3033,Sorry,hopeless fountain kingdom (Deluxe),Halsey,2017-06-02,220540,75,5,0,0.351,0.513,0.913,0.25,0.0,0.117,-9.376,0.0367,74.103,4,1,Sad,True
3034,To Build A Home,Ma Fleur,The Cinematic Orchestra,2007-05-07,371320,74,9,1,0.0735,0.264,0.885,0.122,0.349,0.094,-15.399,0.0349,148.658,4,1,Sad,True
3035,when the party's over - Recorded at Spotify Studios NYC,Spotify Singles,Lewis Capaldi,2019-06-12,232837,65,10,1,0.258,0.509,0.946,0.183,0.0,0.0914,-10.27,0.0377,117.354,3,1,Sad,True
3036,Don't Hold Me - Acoustic,Don't Hold Me (Acoustic),Sandro Cavazza,2017-03-31,182696,0,0,0,0.111,0.454,0.749,0.186,0.00797,0.0991,-13.623,0.039,75.982,4,1,Sad,True
3037,Little Do You Know,It's About Us,Alex & Sierra,2014-10-06,185200,76,0,1,0.37,0.5,0.746,0.292,0.0,0.188,-8.554,0.0323,145.879,4,1,Sad,True
3038,Slide,Electric Light,James Bay,2018-05-18,203853,56,7,1,0.347,0.497,0.894,0.23,2.34e-06,0.0934,-8.22,0.0399,125.822,4,1,Sad,True
3039,High Hopes,In A Perfect World (Deluxe),Kodaline,2013-06-14,230266,0,4,1,0.219,0.488,0.577,0.487,0.0,0.193,-6.371,0.0305,77.278,4,1,Sad,True
3040,Take Me Home,I Cry When I Laugh,Jess Glynne,2015,265381,69,9,1,0.238,0.558,0.292,0.451,0.0,0.101,-6.163,0.0388,150.008,4,1,Sad,True
3041,Let You Down,Perception,NF,2017-10-06,212120,81,5,0,0.464,0.662,0.312,0.714,0.0,0.179,-5.68,0.121,147.997,4,1,Sad,True
3042,Lose My Mind - Acoustic,Lose My Mind (Acoustic),Dean Lewis,2017-10-20,193628,64,8,1,0.228,0.515,0.939,0.201,1.29e-06,0.0889,-10.866,0.0569,74.21,4,1,Sad,True
3043,Six Feet Under,Six Feet Under,Billie Eilish,2016-11-17,189613,75,11,0,0.157,0.576,0.807,0.307,0.000355,0.0792,-12.732,0.0428,67.513,4,1,Sad,True
3044,Not About Angels,Not About Angels,Birdy,2014-04-13,189475,73,0,1,0.219,0.405,0.964,0.111,4.37e-05,0.0872,-11.879,0.0369,116.86,4,1,Sad,True
3045,Mercy,Illuminate (Deluxe),Shawn Mendes,2016-09-23,208733,0,11,0,0.357,0.562,0.113,0.681,0.0,0.11,-4.934,0.0871,148.064,4,1,Sad,True
3046,The Fault in Our Stars,The Fault in Our Stars,Troye Sivan,2013-05-05,187194,63,3,1,0.405,0.481,0.613,0.179,2.84e-05,0.145,-21.424,0.109,74.85,4,1,Sad,True
3047,You Are The Reason,Only Human (Deluxe),Calum Scott,2018-03-09,204326,82,10,1,0.22,0.329,0.918,0.235,0.0,0.137,-7.699,0.0303,171.006,3,1,Sad,True
3048,Be Alright,A Place We Knew,Dean Lewis,2019-03-22,196493,75,11,1,0.493,0.551,0.705,0.537,0.0,0.0802,-7.595,0.034,126.421,4,1,Sad,True
3049,Hold Me While You Wait,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,205686,78,11,1,0.162,0.688,0.443,0.53,0.0,0.0995,-5.507,0.0333,106.958,4,1,Sad,True
3050,Hallelujah,A Pentatonix Christmas,Pentatonix,2016-10-21,268960,69,7,0,0.366,0.322,0.454,0.377,0.0,0.338,-7.385,0.0356,118.669,4,1,Sad,True
3051,It's You,YOU,Ali Gatie,2019-11-08,212606,81,11,0,0.397,0.732,0.374,0.463,0.0,0.194,-6.972,0.0287,95.971,4,1,Sad,True
3052,Let Me Down Slowly,Narrated For You,Alec Benjamin,2018-11-16,169353,84,1,0,0.483,0.652,0.74,0.557,0.0,0.124,-5.714,0.0318,150.073,4,1,Sad,True
3053,Teenage Mind,Teenage Mind,Tate McRae,2018-08-17,155205,67,4,0,0.12,0.671,0.75,0.337,1.38e-06,0.11,-9.762,0.0605,119.716,4,1,Sad,True
3054,You Say,Look Up Child,Lauren Daigle,2018-09-07,274693,76,5,1,0.0797,0.494,0.682,0.632,0.0,0.0869,-6.89,0.0342,147.873,4,1,Sad,True
3055,It's Ok,The Pleasant Trees,Tom Rosenthal,2014-09-01,191352,71,8,0,0.0607,0.561,0.871,0.111,0.205,0.103,-15.11,0.0324,148.191,4,1,Sad,True
3056,Deep End,Beautiful Lies,Birdy,2016-03-25,208840,68,2,1,0.31,0.455,0.761,0.296,0.0,0.0783,-8.513,0.0399,171.744,4,1,Sad,True
3057,Little Lion Man,Sigh No More,Mumford & Sons,2009-01-01,245173,68,5,1,0.455,0.517,0.0275,0.492,3.19e-05,0.0873,-8.05,0.0272,138.585,4,1,Sad,True
